,dimensions,word_min_count,window_size,svr_C,MAE
0,20,1,2,0.1,1.0523530148632354
1,20,1,2,1.0,1.0170220684225622
2,20,1,2,10.0,0.9848550391338831
3,20,1,5,0.1,1.0315025193789715
4,20,1,5,1.0,0.9975134841535545
5,20,1,5,10.0,0.9791994214945874
6,20,3,2,0.1,1.0643239829282156
7,20,3,2,1.0,1.0049947328479374
8,20,3,2,10.0,0.993838425666883
9,20,3,5,0.1,1.0327803990824873
10,20,3,5,1.0,1.000090331091566
11,20,3,5,10.0,0.9780711795172896
12,20,5,2,0.1,1.0361079377785856
13,20,5,2,1.0,1.0081614921994153
14,20,5,2,10.0,0.9848283861084978
15,20,5,5,0.1,1.033559131018151
16,20,5,5,1.0,0.9911171226624103
17,20,5,5,10.0,0.9749392047224065
18,40,1,2,0.1,1.0425620608434552
19,40,1,2,1.0,1.0028649895993005
20,40,1,2,10.0,0.9836023130977933
21,40,1,5,0.1,1.0301060673331446
22,40,1,5,1.0,0.9849267526179215
23,40,1,5,10.0,0.9600047510885712
24,40,3,2,0.1,1.0321677309759267
25,40,3,2,1.0,0.9947442440996778
26,40,3,2,10.0,0.9847905933617571
27,40,3,5,0.1,1.0155286496243288
28,40,3,5,1.0,0.9790202302266383
29,40,3,5,10.0,0.9595271777793878
30,40,5,2,0.1,1.0297747783869586
31,40,5,2,1.0,0.9995141425744076
32,40,5,2,10.0,0.9808032783302247
33,40,5,5,0.1,0.9989499285601461
34,40,5,5,1.0,0.9808576759361536
35,40,5,5,10.0,0.9703631877960921
36,80,1,2,0.1,1.0066192299166046
37,80,1,2,1.0,0.9836166053915475
38,80,1,2,10.0,0.9685754881728025
39,80,1,5,0.1,1.0019493675362485
40,80,1,5,1.0,0.9697175599658078
41,80,1,5,10.0,0.953912954437366
42,80,3,2,0.1,1.0104442659309245
43,80,3,2,1.0,0.9679225042985035
44,80,3,2,10.0,0.9610901134890394
45,80,3,5,0.1,0.9968959285459714
46,80,3,5,1.0,0.9729044318477913
47,80,3,5,10.0,0.9553860557128104
48,80,5,2,0.1,1.0283779959844026
49,80,5,2,1.0,0.9774182505741015
50,80,5,2,10.0,0.9697261480576579
51,80,5,5,0.1,0.9864172299820002
52,80,5,5,1.0,0.9586843836242809
53,80,5,5,10.0,0.969672126761546
