elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
sigm,33,1.167509701743766,2,100,1,15
lin,33,1.1593268851289047,2,100,1,15
tanh,33,1.1589469189437722,2,100,1,15
rbf_l2,33,1.192689888148927,2,100,1,15
rbf_linf,33,1.2400185694143708,2,100,1,15
sigm,50,1.1214290404424796,2,100,1,15
lin,50,1.1384261488981182,2,100,1,15
tanh,50,1.1323021297069709,2,100,1,15
rbf_l2,50,1.1428797307707173,2,100,1,15
rbf_linf,50,1.132267478675958,2,100,1,15
sigm,75,1.104228844107417,2,100,1,15
lin,75,1.0939357650265715,2,100,1,15
tanh,75,1.1001900389216748,2,100,1,15
rbf_l2,75,1.1151494260982087,2,100,1,15
rbf_linf,75,1.109783780343518,2,100,1,15
sigm,100,1.0898148998081083,2,100,1,15
lin,100,1.0935293670691268,2,100,1,15
tanh,100,1.0778252999774438,2,100,1,15
rbf_l2,100,1.0958361934025667,2,100,1,15
rbf_linf,100,1.111477185807746,2,100,1,15
sigm,125,1.0704605349090355,2,100,1,15
lin,125,1.082644067902727,2,100,1,15
tanh,125,1.0779040987351935,2,100,1,15
rbf_l2,125,1.0652092853984947,2,100,1,15
rbf_linf,125,1.1050858640750374,2,100,1,15
sigm,150,1.0500229320668903,2,100,1,15
lin,150,1.0889034282226098,2,100,1,15
tanh,150,1.048802032202012,2,100,1,15
rbf_l2,150,1.0558539908038722,2,100,1,15
rbf_linf,150,1.0739066227432634,2,100,1,15
sigm,175,1.0531405846919708,2,100,1,15
lin,175,1.0895117977274782,2,100,1,15
tanh,175,1.0536838074570098,2,100,1,15
rbf_l2,175,1.046381596640103,2,100,1,15
rbf_linf,175,1.0613629185961249,2,100,1,15
sigm,200,1.0478553007427363,2,100,1,15
lin,200,1.082039563486312,2,100,1,15
tanh,200,1.0418940003721058,2,100,1,15
rbf_l2,200,1.0432157435895035,2,100,1,15
rbf_linf,200,1.2626450111026553,2,100,1,15
sigm,33,1.1631466737380591,2,100,1,15
lin,33,1.1583029313167326,2,100,1,15
tanh,33,1.155777725599859,2,100,1,15
rbf_l2,33,1.170890192963499,2,100,1,15
rbf_linf,33,1.2805579643719402,2,100,1,15
sigm,50,1.1087849069088596,2,100,1,15
lin,50,1.1278925290584865,2,100,1,15
tanh,50,1.1032368313424725,2,100,1,15
rbf_l2,50,1.1296968116062138,2,100,1,15
rbf_linf,50,1.1239378218154619,2,100,1,15
sigm,75,1.0942804207959713,2,100,1,15
lin,75,1.093378078840187,2,100,1,15
tanh,75,1.1064165553851704,2,100,1,15
rbf_l2,75,1.097219853611551,2,100,1,15
rbf_linf,75,1.1095627744561747,2,100,1,15
sigm,100,1.068000497509182,2,100,1,15
lin,100,1.0791000478344912,2,100,1,15
tanh,100,1.0697889735609782,2,100,1,15
rbf_l2,100,1.0842846631276564,2,100,1,15
rbf_linf,100,1.1015037248506445,2,100,1,15
sigm,125,1.0683173500662595,2,100,1,15
lin,125,1.0893908195764228,2,100,1,15
tanh,125,1.0742526940608577,2,100,1,15
rbf_l2,125,1.07140831871748,2,100,1,15
rbf_linf,125,1.0696882131255596,2,100,1,15
sigm,150,1.0515815772140285,2,100,1,15
lin,150,1.081635024803313,2,100,1,15
tanh,150,1.0599027605510483,2,100,1,15
rbf_l2,150,1.0659400388950129,2,100,1,15
rbf_linf,150,1.0722324369639766,2,100,1,15
sigm,175,1.0519574981224575,2,100,1,15
lin,175,1.0793101199020103,2,100,1,15
tanh,175,1.0516667124320398,2,100,1,15
rbf_l2,175,1.0350944893983682,2,100,1,15
rbf_linf,175,1.0567178437149294,2,100,1,15
sigm,200,1.0383692088989982,2,100,1,15
lin,200,1.0894650451198677,2,100,1,15
tanh,200,1.0386674857196256,2,100,1,15
rbf_l2,200,1.043604983026214,2,100,1,15
rbf_linf,200,1.0466025936027672,2,100,1,15
sigm,33,1.1946052643677563,2,100,1,15
lin,33,1.155715054220709,2,100,1,15
tanh,33,1.177006504000771,2,100,1,15
rbf_l2,33,1.2087626356010432,2,100,1,15
rbf_linf,33,1.2025344045169668,2,100,1,15
sigm,50,1.1169337358889249,2,100,1,15
lin,50,1.1275564574245582,2,100,1,15
tanh,50,1.1249156157647855,2,100,1,15
rbf_l2,50,1.1457549836713308,2,100,1,15
rbf_linf,50,1.1361483174679372,2,100,1,15
sigm,75,1.106109512349604,2,100,1,15
lin,75,1.0978526557231327,2,100,1,15
tanh,75,1.1002430923482944,2,100,1,15
rbf_l2,75,1.098444250695717,2,100,1,15
rbf_linf,75,1.2468340139921572,2,100,1,15
sigm,100,1.0805464096082253,2,100,1,15
lin,100,1.0866642322315039,2,100,1,15
tanh,100,1.0795176052688813,2,100,1,15
rbf_l2,100,1.0886770713596596,2,100,1,15
rbf_linf,100,1.0850456738144598,2,100,1,15
sigm,125,1.080114639830257,2,100,1,15
lin,125,1.0834324371536554,2,100,1,15
tanh,125,1.0645540211497628,2,100,1,15
rbf_l2,125,1.075280927633445,2,100,1,15
rbf_linf,125,1.0720446902703347,2,100,1,15
sigm,150,1.0430212667452132,2,100,1,15
lin,150,1.0797325462267122,2,100,1,15
tanh,150,1.0613045457967902,2,100,1,15
rbf_l2,150,1.0542464871288795,2,100,1,15
rbf_linf,150,1.0605322336304353,2,100,1,15
