elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
lin,5,1.417104651351637,2,10,1,15
tanh,5,1.4883691293989927,2,10,1,15
rbf_l2,5,1.4887807095047962,2,10,1,15
lin,7,1.3644359999511884,2,10,1,15
tanh,7,1.3229659901773212,2,10,1,15
rbf_l2,7,1.3501611400323257,2,10,1,15
lin,10,1.2561356365827845,2,10,1,15
tanh,10,1.2776225701825035,2,10,1,15
rbf_l2,10,1.2895318399616933,2,10,1,15
lin,15,1.2506632407026514,2,10,1,15
tanh,15,1.220781473314115,2,10,1,15
rbf_l2,15,1.1923350596072342,2,10,1,15
lin,17,1.249598552361745,2,10,1,15
tanh,17,1.1986758517826561,2,10,1,15
rbf_l2,17,1.2450655873411003,2,10,1,15
lin,20,1.249883553918312,2,10,1,15
tanh,20,1.235575199647199,2,10,1,15
rbf_l2,20,1.2117862582949752,2,10,1,15
lin,5,1.3897552640645094,2,10,3,15
tanh,5,1.3775354478279875,2,10,3,15
rbf_l2,5,1.4155683190949833,2,10,3,15
lin,7,1.3213293403702167,2,10,3,15
tanh,7,1.287388744522811,2,10,3,15
rbf_l2,7,1.3309509172555012,2,10,3,15
lin,10,1.2089199561164585,2,10,3,15
tanh,10,1.2688181170581725,2,10,3,15
rbf_l2,10,1.2906449547177723,2,10,3,15
lin,15,1.2183593507633903,2,10,3,15
tanh,15,1.2055085752244175,2,10,3,15
rbf_l2,15,1.2344165667200884,2,10,3,15
lin,17,1.2220682309980262,2,10,3,15
tanh,17,1.2107148670097896,2,10,3,15
rbf_l2,17,1.178915493927033,2,10,3,15
lin,20,1.216321718760693,2,10,3,15
tanh,20,1.1532014962450021,2,10,3,15
rbf_l2,20,1.1679086934457596,2,10,3,15
lin,5,1.3701751615477238,2,10,5,15
tanh,5,1.595327843752909,2,10,5,15
rbf_l2,5,1.5920662154090106,2,10,5,15
lin,7,1.3121135277035083,2,10,5,15
tanh,7,1.3442592225284808,2,10,5,15
rbf_l2,7,1.344936260055744,2,10,5,15
lin,10,1.2452067709586148,2,10,5,15
tanh,10,1.3579050900808336,2,10,5,15
rbf_l2,10,1.251085070411437,2,10,5,15
lin,15,1.24579762489364,2,10,5,15
tanh,15,1.2332675324946405,2,10,5,15
rbf_l2,15,1.2037326260865804,2,10,5,15
lin,17,1.25595778580742,2,10,5,15
tanh,17,1.2290863090533768,2,10,5,15
rbf_l2,17,1.2155778455989164,2,10,5,15
lin,20,1.2536585444929838,2,10,5,15
tanh,20,1.2005391200512585,2,10,5,15
rbf_l2,20,1.1896724518937658,2,10,5,15
lin,5,1.4336440569921014,5,10,1,15
tanh,5,1.291548944828007,5,10,1,15
rbf_l2,5,1.225106313834503,5,10,1,15
lin,7,1.3076856940102364,5,10,1,15
tanh,7,1.2678197412185594,5,10,1,15
rbf_l2,7,1.2264174604611147,5,10,1,15
lin,10,1.1603751894428782,5,10,1,15
tanh,10,1.2742362173062847,5,10,1,15
rbf_l2,10,1.2589039223379026,5,10,1,15
lin,15,1.16427411258553,5,10,1,15
tanh,15,1.1259550716273308,5,10,1,15
rbf_l2,15,1.1403542214977322,5,10,1,15
lin,17,1.1771830209950918,5,10,1,15
tanh,17,1.1331404845689668,5,10,1,15
rbf_l2,17,1.153333575280331,5,10,1,15
lin,20,1.172804664249091,5,10,1,15
tanh,20,1.122837342524519,5,10,1,15
rbf_l2,20,1.1264487545717914,5,10,1,15
lin,5,1.3476892269656537,5,10,3,15
tanh,5,1.1845718551680011,5,10,3,15
rbf_l2,5,1.4698926990621446,5,10,3,15
lin,7,1.2708572516444234,5,10,3,15
tanh,7,1.2048949772455224,5,10,3,15
rbf_l2,7,1.3291636065535597,5,10,3,15
lin,10,1.1613083723786093,5,10,3,15
tanh,10,1.1816062143561774,5,10,3,15
rbf_l2,10,1.1694122712551573,5,10,3,15
lin,15,1.1605263977671065,5,10,3,15
tanh,15,1.1100218658218746,5,10,3,15
rbf_l2,15,1.1633220865283245,5,10,3,15
lin,17,1.1588192188537794,5,10,3,15
tanh,17,1.1337028129247462,5,10,3,15
rbf_l2,17,1.137950711631416,5,10,3,15
lin,20,1.1662865856491682,5,10,3,15
tanh,20,1.1004038608667615,5,10,3,15
rbf_l2,20,1.1044008579494349,5,10,3,15
lin,5,1.4103088547229423,5,10,5,15
tanh,5,1.3239343417251521,5,10,5,15
rbf_l2,5,1.2511289676963622,5,10,5,15
lin,7,1.3074645363127821,5,10,5,15
tanh,7,1.2342757396067394,5,10,5,15
rbf_l2,7,1.373991033748783,5,10,5,15
lin,10,1.1683809693666984,5,10,5,15
tanh,10,1.24758354931189,5,10,5,15
rbf_l2,10,1.1722371737298551,5,10,5,15
lin,15,1.1742190629641884,5,10,5,15
tanh,15,1.1309221092691808,5,10,5,15
rbf_l2,15,1.145355212245365,5,10,5,15
lin,17,1.1727056025991742,5,10,5,15
