estimator,r2_performance_mean,r2_performance_std,vect__analyzer,vect__ngram_range,svr__kernel,svr__C
SVR_min_df,0.5362297723890348,0.025931280313023504,char,"(1, 5)",linear,1.0
SVR_min_df,0.44630609526243525,0.024282972535387703,char,"(1, 5)",linear,10.0
SVR_min_df,0.4327176259646025,0.0161861790817217,char,"(1, 5)",linear,0.1
SVR_min_df,-0.023370866112411414,0.013165566770932892,char,"(1, 5)",linear,0.001
SVR_min_df,0.5229012001537636,0.023909204872480976,char,"(1, 5)",rbf,1.0
SVR_min_df,0.3778523961841209,0.014892173714689637,char,"(1, 5)",poly,1.0
SVR_min_df,0.5232896008521623,0.028187984743812206,char,"(1, 5)",sigmoid,1.0
SVR_min_df,0.5347803471232258,0.021544649083476353,char,"(1, 5)",rbf,10.0
SVR_min_df,0.4337080945288692,0.022203669569781793,char,"(1, 5)",poly,10.0
SVR_min_df,-0.4739378230633271,0.1720562412904029,char,"(1, 5)",sigmoid,10.0
SVR_min_df,0.2708440312627819,0.004405780709030089,char,"(1, 5)",rbf,0.1
SVR_min_df,0.07654293361176383,0.010664636126153364,char,"(1, 5)",poly,0.1
SVR_min_df,0.43043317242442675,0.015893291299648133,char,"(1, 5)",sigmoid,0.1
SVR_min_df,-0.03103675844753555,0.013228254288545007,char,"(1, 5)",rbf,0.001
SVR_min_df,-0.03446959866832118,0.013266610958325127,char,"(1, 5)",poly,0.001
SVR_min_df,-0.023777276909658383,0.013187470142181756,char,"(1, 5)",sigmoid,0.001
