estimator,neg_mean_absolute_error_performance_mean,neg_mean_absolute_error_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,vect__stop_words,svr__kernel,svr__C
SVR,-2.7068064001463243,0.09205504492929577,char,"(1, 5)",N/A,N/A,rbf,1.0
SVR,-2.7068064001463243,0.09205504492929577,char,"(1, 5)",N/A,Yes (n=232),rbf,1.0
SVR,-2.66351462251252,0.08835327814775917,char,"(1, 5)",clean_and_stem_text,N/A,rbf,1.0
SVR,-2.66351462251252,0.08835327814775917,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-2.783854526332098,0.09202225399086643,char,"(2, 6)",N/A,N/A,rbf,1.0
SVR,-2.783854526332098,0.09202225399086643,char,"(2, 6)",N/A,Yes (n=232),rbf,1.0
SVR,-2.7411508815539656,0.09053363253682291,char,"(2, 6)",clean_and_stem_text,N/A,rbf,1.0
SVR,-2.7411508815539656,0.09053363253682291,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-2.8893752026143886,0.09170738321904082,char,"(4, 7)",N/A,N/A,rbf,1.0
SVR,-2.8893752026143886,0.09170738321904082,char,"(4, 7)",N/A,Yes (n=232),rbf,1.0
SVR,-2.8509856242444203,0.09335921680423322,char,"(4, 7)",clean_and_stem_text,N/A,rbf,1.0
SVR,-2.8509856242444203,0.09335921680423322,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-2.948855127426522,0.09116927853607437,char,"(4, 9)",N/A,N/A,rbf,1.0
SVR,-2.948855127426522,0.09116927853607437,char,"(4, 9)",N/A,Yes (n=232),rbf,1.0
SVR,-2.910908847094327,0.09430969485903665,char,"(4, 9)",clean_and_stem_text,N/A,rbf,1.0
SVR,-2.910908847094327,0.09430969485903665,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-3.0600517236650058,0.08935345800800312,char,"(5, 12)",N/A,N/A,rbf,1.0
SVR,-3.0600517236650058,0.08935345800800312,char,"(5, 12)",N/A,Yes (n=232),rbf,1.0
SVR,-3.0224045300801636,0.09514316731258227,char,"(5, 12)",clean_and_stem_text,N/A,rbf,1.0
SVR,-3.0224045300801636,0.09514316731258227,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-2.428134516675659,0.09583299697292773,char,"(1, 5)",N/A,N/A,linear,1.0
SVR,-2.428134516675659,0.09583299697292773,char,"(1, 5)",N/A,Yes (n=232),linear,1.0
SVR,-2.4049535591330224,0.08265489125195179,char,"(1, 5)",clean_and_stem_text,N/A,linear,1.0
SVR,-2.4049535591330224,0.08265489125195179,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,1.0
