estimator,r2_performance_mean,r2_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,vect__stop_words,svr__kernel,svr__C
SVR,0.3892188131155299,0.010135826789115681,char,"(1, 5)",N/A,N/A,rbf,1.0
SVR,0.3892188131155299,0.010135826789115681,char,"(1, 5)",N/A,Yes (n=232),rbf,1.0
SVR,0.41006064321473,0.011342380034308467,char,"(1, 5)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.41006064321473,0.011342380034308467,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.3529510592527432,0.01073367914050577,char,"(2, 6)",N/A,N/A,rbf,1.0
SVR,0.3529510592527432,0.01073367914050577,char,"(2, 6)",N/A,Yes (n=232),rbf,1.0
SVR,0.37292993592923185,0.011462344087598051,char,"(2, 6)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.37292993592923185,0.011462344087598051,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.3039323128487271,0.011916440181962128,char,"(4, 7)",N/A,N/A,rbf,1.0
SVR,0.3039323128487271,0.011916440181962128,char,"(4, 7)",N/A,Yes (n=232),rbf,1.0
SVR,0.32108410083422945,0.012348493882161107,char,"(4, 7)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.32108410083422945,0.012348493882161107,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.274065675038888,0.012955960675193712,char,"(4, 9)",N/A,N/A,rbf,1.0
SVR,0.274065675038888,0.012955960675193712,char,"(4, 9)",N/A,Yes (n=232),rbf,1.0
SVR,0.29115576687614564,0.013335218193368116,char,"(4, 9)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.29115576687614564,0.013335218193368116,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.22041758097578787,0.014147982536767582,char,"(5, 12)",N/A,N/A,rbf,1.0
SVR,0.22041758097578787,0.014147982536767582,char,"(5, 12)",N/A,Yes (n=232),rbf,1.0
SVR,0.2370580879150464,0.014555561899551518,char,"(5, 12)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.2370580879150464,0.014555561899551518,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.5100194103323569,0.012202147392373311,char,"(1, 5)",N/A,N/A,linear,1.0
SVR,0.5100194103323569,0.012202147392373311,char,"(1, 5)",N/A,Yes (n=232),linear,1.0
SVR,0.5184547990914365,0.014096146795997463,char,"(1, 5)",clean_and_stem_text,N/A,linear,1.0
SVR,0.5184547990914365,0.014096146795997463,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.5183374094912503,0.01192045750183706,char,"(2, 6)",N/A,N/A,linear,1.0
SVR,0.5183374094912503,0.01192045750183706,char,"(2, 6)",N/A,Yes (n=232),linear,1.0
SVR,0.5264772336765338,0.01297157065182461,char,"(2, 6)",clean_and_stem_text,N/A,linear,1.0
SVR,0.5264772336765338,0.01297157065182461,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.5014139236369086,0.012865364921892318,char,"(4, 7)",N/A,N/A,linear,1.0
SVR,0.5014139236369086,0.012865364921892318,char,"(4, 7)",N/A,Yes (n=232),linear,1.0
SVR,0.5102844848998416,0.013230599392857059,char,"(4, 7)",clean_and_stem_text,N/A,linear,1.0
SVR,0.5102844848998416,0.013230599392857059,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.48390509601344006,0.013793683523892776,char,"(4, 9)",N/A,N/A,linear,1.0
SVR,0.48390509601344006,0.013793683523892776,char,"(4, 9)",N/A,Yes (n=232),linear,1.0
SVR,0.4938983849897055,0.014873232307760088,char,"(4, 9)",clean_and_stem_text,N/A,linear,1.0
SVR,0.4938983849897055,0.014873232307760088,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.44212935850317037,0.015451784188008274,char,"(5, 12)",N/A,N/A,linear,1.0
SVR,0.44212935850317037,0.015451784188008274,char,"(5, 12)",N/A,Yes (n=232),linear,1.0
SVR,0.4547363723154868,0.01641218136326342,char,"(5, 12)",clean_and_stem_text,N/A,linear,1.0
SVR,0.4547363723154868,0.01641218136326342,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.551247495175603,0.01461859876319843,char,"(1, 5)",N/A,N/A,rbf,10.0
SVR,0.551247495175603,0.01461859876319843,char,"(1, 5)",N/A,Yes (n=232),rbf,10.0
SVR,0.5517456370478433,0.012322357719087062,char,"(1, 5)",clean_and_stem_text,N/A,rbf,10.0
SVR,0.5517456370478433,0.012322357719087062,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,0.5414647499907895,0.013502352973229053,char,"(2, 6)",N/A,N/A,rbf,10.0
SVR,0.5414647499907895,0.013502352973229053,char,"(2, 6)",N/A,Yes (n=232),rbf,10.0
SVR,0.5438136921792791,0.011963058073695233,char,"(2, 6)",clean_and_stem_text,N/A,rbf,10.0
SVR,0.5438136921792791,0.011963058073695233,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,0.5259770746369641,0.01151469022347125,char,"(4, 7)",N/A,N/A,rbf,10.0
SVR,0.5259770746369641,0.01151469022347125,char,"(4, 7)",N/A,Yes (n=232),rbf,10.0
SVR,0.5284105698022714,0.010050482119670122,char,"(4, 7)",clean_and_stem_text,N/A,rbf,10.0
SVR,0.5284105698022714,0.010050482119670122,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,0.5187288137434679,0.012039952219131454,char,"(4, 9)",N/A,N/A,rbf,10.0
SVR,0.5187288137434679,0.012039952219131454,char,"(4, 9)",N/A,Yes (n=232),rbf,10.0
SVR,0.5224006786418874,0.011172486263871897,char,"(4, 9)",clean_and_stem_text,N/A,rbf,10.0
SVR,0.5224006786418874,0.011172486263871897,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,0.4949209633240411,0.011805034605886104,char,"(5, 12)",N/A,N/A,rbf,10.0
SVR,0.4949209633240411,0.011805034605886104,char,"(5, 12)",N/A,Yes (n=232),rbf,10.0
SVR,0.5001629741420208,0.011680927692408633,char,"(5, 12)",clean_and_stem_text,N/A,rbf,10.0
SVR,0.5001629741420208,0.011680927692408633,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,0.5379402414451764,0.016160082722022098,char,"(1, 5)",N/A,N/A,linear,10.0
SVR,0.5379402414451764,0.016160082722022098,char,"(1, 5)",N/A,Yes (n=232),linear,10.0
SVR,0.5360493349599302,0.010744305419319219,char,"(1, 5)",clean_and_stem_text,N/A,linear,10.0
SVR,0.5360493349599302,0.010744305419319219,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,0.546769143546933,0.016520964749253256,char,"(2, 6)",N/A,N/A,linear,10.0
SVR,0.546769143546933,0.016520964749253256,char,"(2, 6)",N/A,Yes (n=232),linear,10.0
SVR,0.5445872355512963,0.01108758934229789,char,"(2, 6)",clean_and_stem_text,N/A,linear,10.0
SVR,0.5445872355512963,0.01108758934229789,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,0.5549269332870472,0.017498678417584318,char,"(4, 7)",N/A,N/A,linear,10.0
SVR,0.5549269332870472,0.017498678417584318,char,"(4, 7)",N/A,Yes (n=232),linear,10.0
SVR,0.5532635008113356,0.011548469385322942,char,"(4, 7)",clean_and_stem_text,N/A,linear,10.0
SVR,0.5532635008113356,0.011548469385322942,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,0.5619848829210335,0.017896197723785215,char,"(4, 9)",N/A,N/A,linear,10.0
SVR,0.5619848829210335,0.017896197723785215,char,"(4, 9)",N/A,Yes (n=232),linear,10.0
SVR,0.5636859220797154,0.013481065158252602,char,"(4, 9)",clean_and_stem_text,N/A,linear,10.0
SVR,0.5636859220797154,0.013481065158252602,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,0.5607908363081097,0.020148008254291517,char,"(5, 12)",N/A,N/A,linear,10.0
SVR,0.5607908363081097,0.020148008254291517,char,"(5, 12)",N/A,Yes (n=232),linear,10.0
SVR,0.5650710193412024,0.017022816681855433,char,"(5, 12)",clean_and_stem_text,N/A,linear,10.0
SVR,0.5650710193412024,0.017022816681855433,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,0.034567719928636186,0.017327783191087128,char,"(1, 5)",N/A,N/A,rbf,0.1
SVR,0.034567719928636186,0.017327783191087128,char,"(1, 5)",N/A,Yes (n=232),rbf,0.1
SVR,0.045741582020578965,0.017030361665296978,char,"(1, 5)",clean_and_stem_text,N/A,rbf,0.1
SVR,0.045741582020578965,0.017030361665296978,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,0.014257550285717891,0.018010261587834225,char,"(2, 6)",N/A,N/A,rbf,0.1
SVR,0.014257550285717891,0.018010261587834225,char,"(2, 6)",N/A,Yes (n=232),rbf,0.1
SVR,0.023071074461365314,0.018080679234083425,char,"(2, 6)",clean_and_stem_text,N/A,rbf,0.1
SVR,0.023071074461365314,0.018080679234083425,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-0.005602135162629573,0.018570289134031564,char,"(4, 7)",N/A,N/A,rbf,0.1
SVR,-0.005602135162629573,0.018570289134031564,char,"(4, 7)",N/A,Yes (n=232),rbf,0.1
SVR,0.0003884442124911125,0.018766639487534594,char,"(4, 7)",clean_and_stem_text,N/A,rbf,0.1
SVR,0.0003884442124911125,0.018766639487534594,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-0.015653816253585705,0.018686043489759285,char,"(4, 9)",N/A,N/A,rbf,0.1
SVR,-0.015653816253585705,0.018686043489759285,char,"(4, 9)",N/A,Yes (n=232),rbf,0.1
SVR,-0.010623881246214184,0.018932129455564176,char,"(4, 9)",clean_and_stem_text,N/A,rbf,0.1
SVR,-0.010623881246214184,0.018932129455564176,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-0.029342290498047707,0.018669838333834506,char,"(5, 12)",N/A,N/A,rbf,0.1
SVR,-0.029342290498047707,0.018669838333834506,char,"(5, 12)",N/A,Yes (n=232),rbf,0.1
SVR,-0.0255006686209583,0.018874373793713047,char,"(5, 12)",clean_and_stem_text,N/A,rbf,0.1
SVR,-0.0255006686209583,0.018874373793713047,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,0.14866315396235713,0.01283684773946923,char,"(1, 5)",N/A,N/A,linear,0.1
SVR,0.14866315396235713,0.01283684773946923,char,"(1, 5)",N/A,Yes (n=232),linear,0.1
SVR,0.16542331450302553,0.012409220596033077,char,"(1, 5)",clean_and_stem_text,N/A,linear,0.1
SVR,0.16542331450302553,0.012409220596033077,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,0.1483705083325366,0.013662711679296497,char,"(2, 6)",N/A,N/A,linear,0.1
SVR,0.1483705083325366,0.013662711679296497,char,"(2, 6)",N/A,Yes (n=232),linear,0.1
SVR,0.16499311888251428,0.013428314347828941,char,"(2, 6)",clean_and_stem_text,N/A,linear,0.1
SVR,0.16499311888251428,0.013428314347828941,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,0.1166676297228683,0.015642999510121162,char,"(4, 7)",N/A,N/A,linear,0.1
SVR,0.1166676297228683,0.015642999510121162,char,"(4, 7)",N/A,Yes (n=232),linear,0.1
SVR,0.129824137910689,0.015619879084511602,char,"(4, 7)",clean_and_stem_text,N/A,linear,0.1
SVR,0.129824137910689,0.015619879084511602,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,0.09351867909236769,0.01700494702316331,char,"(4, 9)",N/A,N/A,linear,0.1
SVR,0.09351867909236769,0.01700494702316331,char,"(4, 9)",N/A,Yes (n=232),linear,0.1
SVR,0.10576158705635652,0.017128696830980783,char,"(4, 9)",clean_and_stem_text,N/A,linear,0.1
SVR,0.10576158705635652,0.017128696830980783,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,0.05479625980314116,0.019256373997054647,char,"(5, 12)",N/A,N/A,linear,0.1
SVR,0.05479625980314116,0.019256373997054647,char,"(5, 12)",N/A,Yes (n=232),linear,0.1
SVR,0.06667332223101585,0.019093824809753218,char,"(5, 12)",clean_and_stem_text,N/A,linear,0.1
SVR,0.06667332223101585,0.019093824809753218,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,-0.07257148785036907,0.01924673827264314,char,"(1, 5)",N/A,N/A,rbf,0.001
SVR,-0.07257148785036907,0.01924673827264314,char,"(1, 5)",N/A,Yes (n=232),rbf,0.001
SVR,-0.07243689480100816,0.019253971259864142,char,"(1, 5)",clean_and_stem_text,N/A,rbf,0.001
SVR,-0.07243689480100816,0.019253971259864142,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-0.07279197646664018,0.019249966640292535,char,"(2, 6)",N/A,N/A,rbf,0.001
SVR,-0.07279197646664018,0.019249966640292535,char,"(2, 6)",N/A,Yes (n=232),rbf,0.001
SVR,-0.0726945944747182,0.019252904762769807,char,"(2, 6)",clean_and_stem_text,N/A,rbf,0.001
SVR,-0.0726945944747182,0.019252904762769807,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-0.07300770270403674,0.019254069069325964,char,"(4, 7)",N/A,N/A,rbf,0.001
SVR,-0.07300770270403674,0.019254069069325964,char,"(4, 7)",N/A,Yes (n=232),rbf,0.001
SVR,-0.07293772260770992,0.019257038375691066,char,"(4, 7)",clean_and_stem_text,N/A,rbf,0.001
SVR,-0.07293772260770992,0.019257038375691066,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-0.0731183509069532,0.0192549360131392,char,"(4, 9)",N/A,N/A,rbf,0.001
SVR,-0.0731183509069532,0.0192549360131392,char,"(4, 9)",N/A,Yes (n=232),rbf,0.001
SVR,-0.07306342890178286,0.019259964692128914,char,"(4, 9)",clean_and_stem_text,N/A,rbf,0.001
SVR,-0.07306342890178286,0.019259964692128914,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-0.07326642780023462,0.01925535324593171,char,"(5, 12)",N/A,N/A,rbf,0.001
SVR,-0.07326642780023462,0.01925535324593171,char,"(5, 12)",N/A,Yes (n=232),rbf,0.001
SVR,-0.07322409455194094,0.019259049837523735,char,"(5, 12)",clean_and_stem_text,N/A,rbf,0.001
SVR,-0.07322409455194094,0.019259049837523735,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-0.07086172196172531,0.019247650496022586,char,"(1, 5)",N/A,N/A,linear,0.001
SVR,-0.07086172196172531,0.019247650496022586,char,"(1, 5)",N/A,Yes (n=232),linear,0.001
SVR,-0.07056024128290597,0.019247873323128023,char,"(1, 5)",clean_and_stem_text,N/A,linear,0.001
SVR,-0.07056024128290597,0.019247873323128023,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,-0.07090464481769243,0.019250612715404212,char,"(2, 6)",N/A,N/A,linear,0.001
SVR,-0.07090464481769243,0.019250612715404212,char,"(2, 6)",N/A,Yes (n=232),linear,0.001
SVR,-0.07061855129699443,0.01926152989381097,char,"(2, 6)",clean_and_stem_text,N/A,linear,0.001
SVR,-0.07061855129699443,0.01926152989381097,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,-0.07146646720170118,0.019267444087697462,char,"(4, 7)",N/A,N/A,linear,0.001
SVR,-0.07146646720170118,0.019267444087697462,char,"(4, 7)",N/A,Yes (n=232),linear,0.001
SVR,-0.07124473232745392,0.01927569519682917,char,"(4, 7)",clean_and_stem_text,N/A,linear,0.001
SVR,-0.07124473232745392,0.01927569519682917,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,-0.07182338261541225,0.019265960557303907,char,"(4, 9)",N/A,N/A,linear,0.001
SVR,-0.07182338261541225,0.019265960557303907,char,"(4, 9)",N/A,Yes (n=232),linear,0.001
SVR,-0.07164439596769681,0.01928105133493468,char,"(4, 9)",clean_and_stem_text,N/A,linear,0.001
SVR,-0.07164439596769681,0.01928105133493468,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,-0.07232622844248585,0.01926782814554844,char,"(5, 12)",N/A,N/A,linear,0.001
SVR,-0.07232622844248585,0.01926782814554844,char,"(5, 12)",N/A,Yes (n=232),linear,0.001
SVR,-0.07218188108454546,0.01927759888496517,char,"(5, 12)",clean_and_stem_text,N/A,linear,0.001
SVR,-0.07218188108454546,0.01927759888496517,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,0.4146172793504417,0.010103092786131536,char_wb,"(2, 6)",N/A,N/A,rbf,1.0
SVR,0.4146172793504417,0.010103092786131536,char_wb,"(2, 6)",N/A,Yes (n=232),rbf,1.0
SVR,0.4506082225191748,0.011277006352643743,char_wb,"(2, 6)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.4506082225191748,0.011277006352643743,char_wb,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.3762060294418971,0.012452905477772192,char_wb,"(4, 9)",N/A,N/A,rbf,1.0
SVR,0.3762060294418971,0.012452905477772192,char_wb,"(4, 9)",N/A,Yes (n=232),rbf,1.0
SVR,0.41798254702099413,0.013144853411533241,char_wb,"(4, 9)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.41798254702099413,0.013144853411533241,char_wb,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.5265058495779874,0.010723765649435389,char_wb,"(2, 6)",N/A,N/A,linear,1.0
SVR,0.5265058495779874,0.010723765649435389,char_wb,"(2, 6)",N/A,Yes (n=232),linear,1.0
SVR,0.5374487508286906,0.009723928186788248,char_wb,"(2, 6)",clean_and_stem_text,N/A,linear,1.0
SVR,0.5374487508286906,0.009723928186788248,char_wb,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.5167706328295008,0.01368866068454665,char_wb,"(4, 9)",N/A,N/A,linear,1.0
SVR,0.5167706328295008,0.01368866068454665,char_wb,"(4, 9)",N/A,Yes (n=232),linear,1.0
SVR,0.5280450497960231,0.011329300581885032,char_wb,"(4, 9)",clean_and_stem_text,N/A,linear,1.0
SVR,0.5280450497960231,0.011329300581885032,char_wb,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.5467533126127723,0.009733151723776921,char_wb,"(2, 6)",N/A,N/A,rbf,10.0
SVR,0.5467533126127723,0.009733151723776921,char_wb,"(2, 6)",N/A,Yes (n=232),rbf,10.0
