estimator,r2_performance_mean,r2_performance_std,analyzer,ngram_range,stop_words,tfidf__use_idf,lasso__alpha,lasso__tol
Lasso,0.0023076082329075874,0.0015489964220852799,char,"(1,9)",yes,True,0.01,1e-05
Lasso,0.0023076082329075874,0.0015489964220852799,char,"(1,9)",yes,True,0.01,0.0001
Lasso,0.0023076082329075874,0.0015489964220852799,char,"(1,9)",yes,True,0.01,0.001
Lasso,0.0023076082329075874,0.0015489964220852799,char,"(1,9)",yes,True,0.01,0.01
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,0.1,1e-05
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,0.1,0.0001
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,0.1,0.001
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,0.1,0.01
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,1.0,1e-05
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,1.0,0.0001
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,1.0,0.001
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,1.0,0.01
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,10.0,1e-05
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,10.0,0.0001
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,10.0,0.001
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,10.0,0.01
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,100.0,1e-05
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,100.0,0.0001
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,100.0,0.001
Lasso,-0.00041665452942742933,0.00036471718120841603,char,"(1,9)",yes,True,100.0,0.01
