estimator,r2_performance_mean,r2_performance_std,analyzer,ngram_range,stop_words,tfidf__use_idf,sgd__loss,sgd__penalty,sgd__alpha,sgd__learning_rate
SGDRegression,-0.006202846058023637,0.002850227082058076,char,"(1,9)",yes,True,squared_loss,l1,0.1,invscaling
SGDRegression,-0.022522871491165296,0.005719217283796238,char,"(1,9)",yes,False,squared_loss,l1,0.1,invscaling
SGDRegression,0.06353555776010608,0.003427853188866101,char,"(1,9)",yes,True,squared_loss,l2,0.1,invscaling
SGDRegression,0.09750590665897681,0.004665786299063766,char,"(1,9)",yes,False,squared_loss,l2,0.1,invscaling
SGDRegression,-0.006364998258423515,0.002873607081920855,char,"(1,9)",yes,True,squared_loss,elasticnet,0.1,invscaling
SGDRegression,-0.0012071390543317185,0.004124313945511345,char,"(1,9)",yes,False,squared_loss,elasticnet,0.1,invscaling
SGDRegression,-0.3486803849436525,0.016930277085974006,char,"(1,9)",yes,True,huber,l1,0.1,invscaling
SGDRegression,-0.34868802127706716,0.01693272219778753,char,"(1,9)",yes,False,huber,l1,0.1,invscaling
SGDRegression,-0.3413808685999887,0.016872792736720068,char,"(1,9)",yes,True,huber,l2,0.1,invscaling
SGDRegression,-0.31510891013222336,0.016616424897486864,char,"(1,9)",yes,False,huber,l2,0.1,invscaling
SGDRegression,-0.34869568540334456,0.016936566854343447,char,"(1,9)",yes,True,huber,elasticnet,0.1,invscaling
SGDRegression,-0.3486902014571503,0.016930613518129075,char,"(1,9)",yes,False,huber,elasticnet,0.1,invscaling
SGDRegression,-0.0003977489689377389,0.0003204621882889634,char,"(1,9)",yes,True,squared_loss,l1,0.1,constant
SGDRegression,-0.00044421427852734394,0.00034709696721374375,char,"(1,9)",yes,False,squared_loss,l1,0.1,constant
SGDRegression,0.07209480937932877,0.002550093232500603,char,"(1,9)",yes,True,squared_loss,l2,0.1,constant
SGDRegression,0.11707163013102899,0.004318260021412446,char,"(1,9)",yes,False,squared_loss,l2,0.1,constant
SGDRegression,-0.0004076687070319274,0.0003546185112365392,char,"(1,9)",yes,True,squared_loss,elasticnet,0.1,constant
SGDRegression,0.009261473617482908,0.004337986099180837,char,"(1,9)",yes,False,squared_loss,elasticnet,0.1,constant
SGDRegression,-0.3103481062647246,0.01645530922081383,char,"(1,9)",yes,True,huber,l1,0.1,constant
SGDRegression,-0.3103825075589035,0.01645405793690726,char,"(1,9)",yes,False,huber,l1,0.1,constant
SGDRegression,-0.3073616374784546,0.016560855802120265,char,"(1,9)",yes,True,huber,l2,0.1,constant
SGDRegression,-0.30182410045380603,0.01649673999480827,char,"(1,9)",yes,False,huber,l2,0.1,constant
SGDRegression,-0.31038527153692935,0.01643728885238709,char,"(1,9)",yes,True,huber,elasticnet,0.1,constant
SGDRegression,-0.3103994501827368,0.01644893324616247,char,"(1,9)",yes,False,huber,elasticnet,0.1,constant
SGDRegression,-0.04663813257759393,0.009666171648550104,char,"(1,9)",yes,True,squared_loss,l1,0.1,optimal
SGDRegression,-0.02764849601824899,0.005161802804577403,char,"(1,9)",yes,False,squared_loss,l1,0.1,optimal
SGDRegression,0.016986432362377003,0.011046070648049364,char,"(1,9)",yes,True,squared_loss,l2,0.1,optimal
SGDRegression,0.08970496232983342,0.00471737338588851,char,"(1,9)",yes,False,squared_loss,l2,0.1,optimal
SGDRegression,-0.0533532277728201,0.00910388379798693,char,"(1,9)",yes,True,squared_loss,elasticnet,0.1,optimal
SGDRegression,-0.00377377587173624,0.004292978278571357,char,"(1,9)",yes,False,squared_loss,elasticnet,0.1,optimal
SGDRegression,-0.34020100541671316,0.016973265020699357,char,"(1,9)",yes,True,huber,l1,0.1,optimal
SGDRegression,-0.3401429020768814,0.01645879258653071,char,"(1,9)",yes,False,huber,l1,0.1,optimal
SGDRegression,-0.33394186589101765,0.016533764353569617,char,"(1,9)",yes,True,huber,l2,0.1,optimal
SGDRegression,-0.3123338360991508,0.0165242086728684,char,"(1,9)",yes,False,huber,l2,0.1,optimal
SGDRegression,-0.34022558980220535,0.01692606901206878,char,"(1,9)",yes,True,huber,elasticnet,0.1,optimal
SGDRegression,-0.3404910862851945,0.01743185835966493,char,"(1,9)",yes,False,huber,elasticnet,0.1,optimal
SGDRegression,-0.006873045553269818,0.0029739951090798147,char,"(1,9)",yes,True,squared_loss,l1,0.01,invscaling
SGDRegression,0.1664005470791029,0.007620975890661694,char,"(1,9)",yes,False,squared_loss,l1,0.01,invscaling
