x,fit_time,fit_time_std,score_time,score_time_std,r2,r2_std,neg_mean_squared_error,neg_mean_squared_error_std,neg_mean_absolute_error,neg_mean_absolute_error_std
500,0.8026454257965089,0.06395742028820589,0.197177734375,0.029053916482025866,0.4664246975828764,0.055008846278768855,-2.5693044593734156,0.28694015242680304,-1.2440637467533775,0.0732829240397832
1000,2.843006200790405,0.8444402373783578,0.7772778415679931,0.2672887926343094,0.46976141131059945,0.03722468160605287,-2.4548641158977498,0.16541671252634843,-1.1674351828690108,0.0463450411366734
1500,4.160938472747803,0.33544254378931465,1.225123748779297,0.09699621115013649,0.469469704213014,0.028851706953694878,-2.4028840092288197,0.14257356270952432,-1.1434521679593814,0.04033357879458398
2000,6.504254474639893,0.0704694595716602,2.010751113891602,0.01831336556340252,0.5119487526422911,0.029627215688522085,-2.1689517911334137,0.1409133767822262,-1.108525116305606,0.033200336210933844
2500,9.873028163909911,0.11537113239894106,3.1378216552734375,0.06960854029645111,0.5159930641549011,0.02463506217648816,-2.142540091523317,0.1081972326382455,-1.084596744092078,0.029342825772553732
3000,14.191852645874025,0.19581073080641734,4.571308870315552,0.0625582876795426,0.5174843800507734,0.025396478429440632,-2.1555960319932135,0.09801651513159074,-1.0789802643692408,0.023965572517971753
3500,18.088115997314453,0.6385937277188959,6.071447772979736,0.47248945565552836,0.5198392030815351,0.017383465224854698,-2.1286262068649617,0.06929613948099686,-1.0717816410580006,0.020603163084002545
4000,22.91408519744873,0.3675803696437869,7.4950221633911145,0.11781958570861666,0.5467270860032858,0.017785723326049017,-1.9920645056993407,0.08930566273704038,-1.03317252882165,0.02486452861821948
4500,32.35153491973877,2.284977140610086,10.931360750198364,1.0938710896512718,0.5376191091709478,0.021197528059096575,-2.1261195319337522,0.12802816707376535,-1.062291302231587,0.03134482924396256
5000,57.63210350036621,7.144349873035848,20.84146985054016,3.2148944643071404,0.5604506349584211,0.014175115451327778,-2.0120029511324917,0.06647475851293297,-1.0304522181608338,0.01870018353160836
5500,14.191852645874025,0.19581073080641734,4.571308870315552,0.0625582876795426,0.55,0.025396478429440632,-2.1555960319932135,0.09801651513159074,-1.0789802643692408,0.023965572517971753
6000,14.191852645874025,0.19581073080641734,4.571308870315552,0.0625582876795426,0.55,0.025396478429440632,-2.1555960319932135,0.09801651513159074,-1.0789802643692408,0.023965572517971753
6500,14.191852645874025,0.19581073080641734,4.571308870315552,0.0625582876795426,0.55,0.025396478429440632,-2.1555960319932135,0.09801651513159074,-1.0789802643692408,0.023965572517971753
7000,14.191852645874025,0.19581073080641734,4.571308870315552,0.0625582876795426,0.55,0.025396478429440632,-2.1555960319932135,0.09801651513159074,-1.0789802643692408,0.023965572517971753
7500,14.191852645874025,0.19581073080641734,4.571308870315552,0.0625582876795426,0.55,0.025396478429440632,-2.1555960319932135,0.09801651513159074,-1.0789802643692408,0.023965572517971753
8000,14.191852645874025,0.19581073080641734,4.571308870315552,0.0625582876795426,0.55,0.025396478429440632,-2.1555960319932135,0.09801651513159074,-1.0789802643692408,0.023965572517971753
