svr__C,svr__epsilon,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
1.0,0.05,linear,word,"(1, 1)",<lambda>,-1.547585104059313,0.04392796261116846,183,0.08594250679016113
1.0,0.05,linear,word,"(1, 1)",clean_text,-1.5485470639552783,0.04438092559865899,186,0.10156881809234619
1.0,0.05,linear,word,"(1, 1)",clean_and_stem_text,-1.558824533993616,0.039849984069428364,236,0.1562597155570984
1.0,0.05,linear,word,"(1, 1)",rmstop_clean_stem,-1.559195655217669,0.04340939536993988,239,0.1640731692314148
1.0,0.05,linear,word,"(1, 2)",<lambda>,-1.5435731928991818,0.048438747663381555,178,0.13282078504562378
1.0,0.05,linear,word,"(1, 2)",clean_text,-1.5441760339215576,0.04863152229771347,179,0.1406344175338745
1.0,0.05,linear,word,"(1, 2)",clean_and_stem_text,-1.550231963521139,0.04916292688958363,191,0.20704448223114014
1.0,0.05,linear,word,"(1, 2)",rmstop_clean_stem,-1.555329609750658,0.04730063537427716,210,0.21876418590545654
1.0,0.05,linear,word,"(1, 5)",<lambda>,-1.5560863399846288,0.0524068106410584,214,0.22267216444015503
1.0,0.05,linear,word,"(1, 5)",clean_text,-1.5566055750225218,0.05260750201701775,219,0.21485847234725952
1.0,0.05,linear,word,"(1, 5)",clean_and_stem_text,-1.5608973730790678,0.04956687128646024,245,0.31642651557922363
1.0,0.05,linear,word,"(1, 5)",rmstop_clean_stem,-1.5660650017885605,0.045204352317156006,258,0.292987585067749
1.0,0.05,linear,word,"(2, 6)",<lambda>,-1.7566554279245405,0.03284255982694329,406,0.19923245906829834
1.0,0.05,linear,word,"(2, 6)",clean_text,-1.7571885627122799,0.032849310223264705,409,0.21095263957977295
1.0,0.05,linear,word,"(2, 6)",clean_and_stem_text,-1.7568464251444298,0.03169142681442342,407,0.32033348083496094
1.0,0.05,linear,word,"(2, 6)",rmstop_clean_stem,-1.7616623152961632,0.029849116598572416,422,0.273453950881958
1.0,0.05,rbf,word,"(1, 1)",<lambda>,-1.5672935286080898,0.05534530433201584,259,0.0937570333480835
1.0,0.05,rbf,word,"(1, 1)",clean_text,-1.567992143706794,0.05570947999264572,262,0.10156840085983276
1.0,0.05,rbf,word,"(1, 1)",clean_and_stem_text,-1.5739469718145864,0.05649769990634799,272,0.171886146068573
1.0,0.05,rbf,word,"(1, 1)",rmstop_clean_stem,-1.5712696118456246,0.053947671653943034,268,0.17969894409179688
1.0,0.05,rbf,word,"(1, 2)",<lambda>,-1.6202589745840474,0.053635503820422634,292,0.12891489267349243
1.0,0.05,rbf,word,"(1, 2)",clean_text,-1.6208700684520791,0.05374975860446244,293,0.1367279291152954
1.0,0.05,rbf,word,"(1, 2)",clean_and_stem_text,-1.6247015326974168,0.05535908349321275,298,0.2109508514404297
1.0,0.05,rbf,word,"(1, 2)",rmstop_clean_stem,-1.6175074738306203,0.049962695723209626,289,0.22267132997512817
1.0,0.05,rbf,word,"(1, 5)",<lambda>,-1.7271814896959707,0.04300727921498555,354,0.23439067602157593
1.0,0.05,rbf,word,"(1, 5)",clean_text,-1.7276348863329023,0.042965056448415306,356,0.2461116909980774
