svr__C,svr__epsilon,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
10.0,0.01,linear,char,"(1, 5)",rmstop_clean_stem,-1.70158200446903,0.07645692061614943,123,1.304776132106781
10.0,0.01,linear,char,"(2, 6)",rmstop_clean_stem,-1.6855099123216126,0.06877291454167532,106,1.4258763790130615
10.0,0.01,linear,char,"(4, 12)",rmstop_clean_stem,-1.6309007998919514,0.05441463850601722,86,2.5587626695632935
10.0,0.01,linear,char,"(6, 8)",rmstop_clean_stem,-1.6754506050570181,0.04862439914219241,102,1.1289803981781006
10.0,0.01,rbf,char,"(1, 5)",rmstop_clean_stem,-1.5400906019298872,0.03009894343515898,13,1.2735217213630676
10.0,0.01,rbf,char,"(2, 6)",rmstop_clean_stem,-1.5417419889957058,0.03062785319057861,19,1.4345647692680359
10.0,0.01,rbf,char,"(4, 12)",rmstop_clean_stem,-1.5937159037468631,0.027221996344529816,52,2.682132840156555
10.0,0.01,rbf,char,"(6, 8)",rmstop_clean_stem,-1.599393236022565,0.028997796436300474,62,1.0547308921813965
10.0,0.01,poly,char,"(1, 5)",rmstop_clean_stem,-1.6891549982229241,0.03476022829889559,107,1.2690556049346924
10.0,0.01,poly,char,"(2, 6)",rmstop_clean_stem,-1.8199220081027894,0.04545972663021941,149,1.4475018978118896
10.0,0.01,poly,char,"(4, 12)",rmstop_clean_stem,-1.9529462437428524,0.046267752675033635,188,2.6496952772140503
10.0,0.01,poly,char,"(6, 8)",rmstop_clean_stem,-1.9321344239442626,0.04568006972990112,169,1.0274126529693604
10.0,0.025,linear,char,"(1, 5)",rmstop_clean_stem,-1.6995420969893358,0.0756564811507168,116,1.3525131940841675
10.0,0.025,linear,char,"(2, 6)",rmstop_clean_stem,-1.6831309334645832,0.06792869442932072,104,1.4417452216148376
10.0,0.025,linear,char,"(4, 12)",rmstop_clean_stem,-1.629181517929776,0.054127979701265254,84,2.612851142883301
10.0,0.025,linear,char,"(6, 8)",rmstop_clean_stem,-1.673509170490029,0.04847401573755963,100,1.084494173526764
10.0,0.025,rbf,char,"(1, 5)",rmstop_clean_stem,-1.5402286120745778,0.029837292441000255,15,1.2657106518745422
10.0,0.025,rbf,char,"(2, 6)",rmstop_clean_stem,-1.5420258956861148,0.030381403765549216,20,1.3615171313285828
10.0,0.025,rbf,char,"(4, 12)",rmstop_clean_stem,-1.5942763292495368,0.027051556397496054,53,2.725185513496399
10.0,0.025,rbf,char,"(6, 8)",rmstop_clean_stem,-1.5998847352397678,0.02875516656606569,63,1.0697370767593384
10.0,0.025,poly,char,"(1, 5)",rmstop_clean_stem,-1.6900823176862052,0.0347334705711804,110,1.3714752793312073
10.0,0.025,poly,char,"(2, 6)",rmstop_clean_stem,-1.8208227911867145,0.04540666086337579,150,1.4709681272506714
10.0,0.025,poly,char,"(4, 12)",rmstop_clean_stem,-1.9536917320913847,0.04612147610458506,189,2.7058544158935547
10.0,0.025,poly,char,"(6, 8)",rmstop_clean_stem,-1.9328979643644426,0.045543843733532756,170,1.0300712585449219
10.0,0.05,linear,char,"(1, 5)",rmstop_clean_stem,-1.6963164806974569,0.07435548803884255,114,1.3197526931762695
10.0,0.05,linear,char,"(2, 6)",rmstop_clean_stem,-1.6791975368953227,0.06681349457675399,103,1.4632628560066223
10.0,0.05,linear,char,"(4, 12)",rmstop_clean_stem,-1.6264850462864333,0.053565418494092645,83,2.6096968054771423
10.0,0.05,linear,char,"(6, 8)",rmstop_clean_stem,-1.670452273579194,0.04790370076179501,98,1.0797653794288635
10.0,0.05,rbf,char,"(1, 5)",rmstop_clean_stem,-1.540496429353747,0.029402732858075382,17,1.3577246069908142
10.0,0.05,rbf,char,"(2, 6)",rmstop_clean_stem,-1.5425553224534903,0.029989009540018364,22,1.4226583242416382
10.0,0.05,rbf,char,"(4, 12)",rmstop_clean_stem,-1.5952791163575446,0.026788663387180358,54,2.655831277370453
10.0,0.05,rbf,char,"(6, 8)",rmstop_clean_stem,-1.6007843335311274,0.028361264649865117,66,1.092426061630249
10.0,0.05,poly,char,"(1, 5)",rmstop_clean_stem,-1.6916709973241368,0.034689982795671814,112,1.3604003190994263
10.0,0.05,poly,char,"(2, 6)",rmstop_clean_stem,-1.8223655307521442,0.04530831987205813,152,1.4390344619750977
10.0,0.05,poly,char,"(4, 12)",rmstop_clean_stem,-1.9549774652846346,0.045884544880677954,190,2.530667543411255
10.0,0.05,poly,char,"(6, 8)",rmstop_clean_stem,-1.934204410410742,0.045319044052585813,171,1.0299119353294373
10.0,0.1,linear,char,"(1, 5)",rmstop_clean_stem,-1.6903461329666993,0.07202009250827945,111,1.3571221828460693
10.0,0.1,linear,char,"(2, 6)",rmstop_clean_stem,-1.6714848217102745,0.06438349818763826,99,1.413592517375946
10.0,0.1,linear,char,"(4, 12)",rmstop_clean_stem,-1.621934820875522,0.05251571941264853,81,2.4852896332740784
10.0,0.1,linear,char,"(6, 8)",rmstop_clean_stem,-1.6647046278569249,0.04663820971271525,97,1.009081244468689
10.0,0.1,rbf,char,"(1, 5)",rmstop_clean_stem,-1.5413085854277244,0.028532991066768522,18,1.2936258912086487
10.0,0.1,rbf,char,"(2, 6)",rmstop_clean_stem,-1.5438456759704586,0.029180390238868884,23,1.325495183467865
10.0,0.1,rbf,char,"(4, 12)",rmstop_clean_stem,-1.5974798689375218,0.02627895835830011,59,2.592023015022278
10.0,0.1,rbf,char,"(6, 8)",rmstop_clean_stem,-1.6028833756593575,0.02763373024144525,68,1.0153245329856873
10.0,0.1,poly,char,"(1, 5)",rmstop_clean_stem,-1.695006166558975,0.034622879565533705,113,1.2334340810775757
10.0,0.1,poly,char,"(2, 6)",rmstop_clean_stem,-1.825576172402027,0.045117893990732016,153,1.3945302367210388
10.0,0.1,poly,char,"(4, 12)",rmstop_clean_stem,-1.9576856935342346,0.045414599213121805,194,2.5623562932014465
10.0,0.1,poly,char,"(6, 8)",rmstop_clean_stem,-1.9369624206510305,0.044862215602386055,172,1.0194333791732788
10.0,0.15,linear,char,"(1, 5)",rmstop_clean_stem,-1.6844273775863368,0.06961895589287095,105,1.3008278608322144
10.0,0.15,linear,char,"(2, 6)",rmstop_clean_stem,-1.664460198861292,0.061823835906870864,96,1.3614924550056458
10.0,0.15,linear,char,"(4, 12)",rmstop_clean_stem,-1.618167140862945,0.05116257871285701,79,2.486223578453064
10.0,0.15,linear,char,"(6, 8)",rmstop_clean_stem,-1.659535028248825,0.04530960440135736,93,0.9922189116477966
10.0,0.15,rbf,char,"(1, 5)",rmstop_clean_stem,-1.5424829342410418,0.02768947551995507,21,1.2539244294166565
10.0,0.15,rbf,char,"(2, 6)",rmstop_clean_stem,-1.5455149897643967,0.028366290669905002,24,1.3241435289382935
10.0,0.15,rbf,char,"(4, 12)",rmstop_clean_stem,-1.6000149870818974,0.025833643627829164,64,2.5233349800109863
10.0,0.15,rbf,char,"(6, 8)",rmstop_clean_stem,-1.605284287069157,0.02701853458989438,69,1.0037589073181152
10.0,0.15,poly,char,"(1, 5)",rmstop_clean_stem,-1.6985919676781325,0.034585921917096064,115,1.2503058910369873
